序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准解散日期
98,16502916,金煌富企業有限公司,高雄市岡山區灣裡里岡山北路2巷55弄3號,null,1000000,0870518,1020523
99,16505574,嘟嘟寶食品有限公司,高雄市路竹區大同路525之7號1樓,null,1000000,0870520,1020503
100,16514510,揚禾起重工程有限公司,新北市中和區國光街一四二巷三五號,null,1000000,0870601,1020502
101,16516756,伊黛絲企業有限公司,臺南市安南區理想里大安街八二巷十一號,null,1000000,0870603,1020530
102,16535923,軒達興業有限公司,新北市蘆洲區中山一路97巷6號2樓,null,1000000,0870625,1020520
103,16542298,央容企業有限公司,桃園縣八德市大昌里介壽路二段三六四巷六號一樓,null,1000000,0870704,1020506
104,16543120,大中電子科技有限公司,新北市中和區建康路2之2號5樓,null,5000000,0870706,1020516
105,16611652,捷翔工程有限公司,臺北市萬華區長沙街2段161號4樓,null,5000000,0870730,1020531
106,16630052,裕元房屋仲介有限公司,臺北市中山區松江路27號1樓,楊碧珠,1000000,0870928,1020523
107,16653548,佳憓有限公司,新北市三重區自強路三段七巷五之三號,null,1000000,0870911,1020527
108,16654981,阿別爾企業有限公司,新北市板橋區中山路二段四九一巷十五︱四號,null,1000000,0870914,1020515
109,16658564,欣美環境工程事業有限公司,桃園縣中壢市中台路五二號,null,2000000,0870919,1020524
110,16661075,鉦新電機有限公司,彰化縣竹塘鄉竹塘村竹林路一段六三二號,null,500000,0870923,1020515
111,16696074,英鼎工程顧問有限公司,新北市樹林區長壽街28巷4弄15之3號,null,3300000,0871113,1020515
112,16733607,金百耕有限公司,新竹縣湖口鄉鳳山村新興路456之1號,null,1000000,0880119,1020508
113,16764946,台新行銷顧問股份有限公司,臺北市中山區德惠街9號2樓之4,null,1000000,0871120,1020513
114,16789622,旭波實業有限公司,臺北市大同區民權西路133巷25號1樓,null,5000000,0880302,1020531
115,16795336,普傳國際開發有限公司,臺北市大安區忠孝東路3段237巷10號4樓,null,5000000,0880324,1020506
116,16812882,秀國貿易有限公司,高雄市左營區新光里華夏路615號1樓,null,2000000,0880902,1020517
117,16821566,同昌工程有限公司,高雄市楠梓區大學二十街170號,null,5600000,0890104,1020430
118,16829791,合勝營造廠股份有限公司,高雄市三民區寶華里覺民路115之4號,null,15000000,0890501,1020524
119,16864494,維利安企業有限公司,臺中市太平區新坪里育賢路160號1樓,null,5000000,0880302,1020529
120,16877770,城嘉營造有限公司,桃園縣桃園市南埔里溫州街71號7樓,null,3000000,0880324,1020521
121,16917345,黃勝偉有限公司,臺中市霧峰區丁台里丁台路557巷38之1號,null,1000000,0880515,1020527
