序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准解散日期
121,22610218,保捷航空貨運承攬股份有限公司,臺中市大雅區六寶里中清路4段629號,null,5000000,0760711,1030414
122,22611722,葉富國際有限公司,新北市板橋區三民路二段二四五巷六九弄一九號一樓,null,5000000,0760706,1030409
123,22671122,瑞明網版有限公司,桃園縣桃園市國強二街二○三號三樓,null,5000000,0761020,1030415
124,22845989,勇發企業有限公司,高雄市左營區後昌路599巷18號,null,5000000,0780106,1030402
125,22870614,采英企業股份有限公司,臺北市中山區民權東路2段26號8樓之8,null,10000000,0770420,1030415
126,22924196,瑩銘精密工業股份有限公司,新北市板橋區南雅南路1段55號7樓之9,null,5000000,0770518,1030430
127,22926201,萬多富事業有限公司,臺中市西屯區長安路二段一○九號一樓,null,1200000,0770520,1030421
128,22927588,威州投資有限公司,新北市板橋區民生路三段廿五號一樓,null,6000000,0770523,1030414
129,23017685,新女性服飾有限公司,臺北市大安區大安路1段95號1樓,陳月環,5000000,0770707,1030414
130,23086161,肇盈有限公司,高雄市楠梓區東寧里清豐二路360巷2號1樓,null,5000000,0771101,1030417
131,23120745,配鑫企業有限公司,新北市汐止區明峰街二○○號一樓,null,1000000,0771024,1030414
132,23178859,鴻吉車業有限公司,嘉義縣中埔鄉富收村頂中下街5號之24,null,1200000,0780105,1030411
133,23180449,合興度量衡有限公司,桃園縣桃園市光興里勇一街34號,null,1000000,null,1030410
134,23264030,鮮美農產有限公司,彰化縣溪湖鎮湖東里英山街７號,null,15000000,0780516,1030428
135,23269160,燦易實業有限公司,新北市汐止區中興路89號2樓,null,5000000,0780523,1030430
136,23312265,櫻盛開發有限公司,新北市新店區安祥路131號2樓,null,5000000,0780524,1030417
137,23384295,東良電腦有限公司,苗栗縣竹南鎮環巿路一段376號,null,2000000,0780706,1030401
138,23394104,藝霖影寫製版有限公司,新北市板橋區中正路三一三號三樓之十八,null,6000000,0780720,1030411
139,23430951,航得企業有限公司,臺北市士林區德行東路266巷15號,null,5000000,0780724,1030430
140,23522311,博可興播音視材有限公司,新北市板橋區新民里漢生東路5號1樓,null,5000000,0781117,1030430
