序號,統一編號,公司名稱,公司所在地,代表人,資本額,核准設立日期,核准解散日期
110,22665424,凱隆藝品有限公司,桃園縣平鎮市中豐路山頂段四六九巷四四弄十一號,,5000000,761005,1020301
111,22719625,大福企管顧問股份有限公司,臺北市信義區忠孝東路4段563號9樓,,5000000,761113,1020307
112,22761496,天資興業有限公司,臺北市士林區天母西路32號34號1樓,,1000000,770307,1020304
113,22768316,聖宗實業有限公司,臺中市大里區塗城里三民一街9巷7號,,2000000,770122,1020320
114,22775549,泓星有限公司,新北市三重區中興南街六六號,,1000000,770204,1020328
115,22802285,琦泰股份有限公司,桃園縣桃園市汴洲里有恒街25號,,5000000,770401,1020313
116,22814515,聖昕企業有限公司,桃園縣中壢市龍岡里後寮62之19號,,5000000,770420,1020320
117,22834483,歐傑電腦科技有限公司,高雄市三民區建國二路１３７號１樓,,2000000,770804,1020320
118,22835244,首都室內設計有限公司,高雄市苓雅區成功1路232號13樓之6,,1000000,770813,1020326
119,22845587,傑林餐飲器材有限公司,高雄市苓雅區成功一路86號,,5000000,771231,1020301
120,22863064,王品家飾裝潢有限公司,臺北市大安區信義路4段309號,,3000000,770406,1020328
121,22864275,羅棟室內裝修設計有限公司,臺北市信義區基隆路2段85號5樓,,6000000,770407,1020327
122,22889233,亨坤企業有限公司,臺北市內湖區康樂街136巷15弄41號5樓,,2000000,770526,1020329
123,22899339,明華汽車百貨有限公司,臺北市北投區中和街453之11號,,1000000,770614,1020320
124,22902138,漢鑫圖書縮影出版有限公司,新北市中和區安平路74號,,10000000,770621,1020312
125,22905584,千新家具有限公司,臺中市潭子區東寶里大德北路一四五巷一○號,,5000000,770425,1020306
126,22925195,新程機械有限公司,彰化縣北斗鎮光復里復興路三一六巷四號,,5000000,770519,1020322
127,22939894,富勛工業股份有限公司,高雄市大寮區中庄里立德路665巷2號1樓,,10000000,770607,1020318
128,22963303,長德加油站實業有限公司,屏東縣新園鄉五房村龍洲路47-2號,,5500000,770701,1020306
129,22995987,伯奇企業有限公司,新北市蘆洲區信義路二二二巷二二弄六號四樓,,5000000,770823,1020306
130,23013843,士賢貿易有限公司,臺北市大同區承德路3段34號1樓,,5000000,770630,1020306
131,23015188,泰崗科技有限公司,臺北市松山區三民路9號2樓之4,,6000000,770702,1020307
132,23078556,螢德鋼鐵股份有限公司,臺南市新營區嘉芳里四維路7號,,10000000,771018,1020311
133,23108708,高陽汽車有限公司,臺中市北區梅川東路三段213號1樓,,1000000,771212,1020305
134,23122693,莎菈企業有限公司,臺北市文山區木柵路2段197號,,5000000,771029,1020301
135,23134831,同信環境工程股份有限公司,臺北市中山區長安東路2段162號5樓之1,,10000000,771201,1020321
136,23183712,祐宏實業有限公司,新北市三重區中正北路一四五巷四弄一七號三樓,,5000000,780113,1020305
137,23186366,元嘉農藥有限公司,嘉義縣太保市麻寮里中山路二段一三七巷六號一樓　,,1000000,780118,1020320
138,23230264,世昇藥品有限公司,新北市土城區明德路一段20巷2弄1號,,5000000,780327,1020325
139,23230623,淳琿企業有限公司,新北市板橋區大觀路二段170號3樓,,10000000,780328,1020328
140,23251773,銓億豐企業有限公司,臺中市大雅區上楓里中正路188之2號,,5000000,780426,1020314
141,23285915,偉企貿易有限公司,臺北市松山區南京東路5段308號5樓之1,,5000000,780322,1020306
142,23311771,大立影視燈光工程有限公司,臺北市文山區興隆路3段112巷2弄30號1樓,,3000000,780523,1020319
143,23328013,薪泰實業有限公司,高雄市新興區河南路354號,,2000000,780413,1020306
144,23341108,祐暢貿易有限公司,高雄市鹽埕區建國四路278號,,250000,780901,1020305
145,23352688,泰發成漁業股份有限公司,高雄市鼓山區鼓元街62號,,24000000,790125,1020306
146,23363186,福祿壽紙器有限公司,桃園縣蘆竹鄉營盤村六福路165巷25號2樓,,500000,780605,1020304
147,23374825,元隆輪業有限公司,臺中市西區成功路四七七號一樓,,5000000,780621,1020314
148,23421411,上紘企業有限公司,臺北市中山區中山北路3段26號3樓,,3400000,780701,1020313
149,23479237,梵宇室內裝潢設計有限公司,臺中市南屯區大業路一三一號二樓,,1000000,780828,1020227
